iter	Passed	Remaining
0	1	1180
1	2	1058
2	2	932
3	3	839
4	4	798
5	4	761
6	5	742
7	5	721
8	6	730
9	7	711
10	7	701
11	8	683
12	8	678
13	9	662
14	9	654
15	10	641
16	10	632
17	11	633
18	12	639
19	13	637
20	13	627
21	13	621
22	14	617
23	15	634
24	16	642
25	16	635
26	17	630
27	17	624
28	18	617
29	18	612
30	19	609
31	20	608
32	20	603
33	21	598
34	21	593
35	21	588
36	22	584
37	22	579
38	23	575
39	23	573
40	24	568
41	24	564
42	25	563
43	25	561
44	26	558
45	26	554
46	27	558
47	27	552
48	28	548
49	28	544
50	29	541
51	30	549
52	30	545
53	31	547
54	31	549
55	32	548
56	33	551
57	33	549
58	34	547
59	34	544
60	35	541
61	35	538
62	36	535
63	36	535
64	37	534
65	37	532
66	38	529
67	38	528
68	38	525
69	39	525
70	40	523
71	40	524
72	41	523
73	41	521
74	42	519
75	42	520
76	43	518
77	43	517
78	44	516
79	44	514
80	45	511
81	45	514
82	46	512
83	46	510
84	47	508
85	47	507
86	48	505
87	48	503
88	48	500
89	49	499
90	49	498
91	50	497
92	51	499
93	51	497
94	52	495
95	52	493
96	52	491
97	53	494
98	54	491
99	54	489
100	54	488
101	55	487
102	55	486
103	56	484
104	56	483
105	57	481
106	57	481
107	58	479
108	58	479
109	59	477
110	59	475
111	59	475
112	60	473
113	61	474
114	61	472
115	61	471
116	62	469
117	62	468
118	63	466
119	63	465
120	63	463
121	64	461
122	64	460
123	65	460
124	65	458
125	65	457
126	66	455
127	66	454
128	67	456
129	68	455
130	68	454
131	68	452
132	69	452
133	69	450
134	70	449
135	70	449
136	71	447
137	71	446
138	71	445
139	72	444
140	72	443
141	73	441
142	73	441
143	74	440
144	74	441
145	75	441
146	75	440
147	76	439
148	76	438
149	77	439
150	77	438
151	78	437
152	78	436
153	79	435
154	79	433
155	79	432
156	80	431
157	80	429
158	81	428
159	81	427
160	81	426
161	82	425
162	82	424
163	82	422
164	83	421
165	83	420
166	84	419
167	84	418
168	84	417
169	85	416
170	85	415
171	85	413
172	86	412
173	86	411
174	87	410
175	87	409
176	87	408
177	88	407
178	88	405
179	88	404
180	89	404
181	89	402
182	90	401
183	90	400
184	90	399
185	91	399
186	91	397
187	91	397
188	92	395
189	92	394
190	93	393
191	93	392
192	94	393
193	94	392
194	94	391
195	95	390
196	95	389
197	96	388
198	96	388
199	96	387
200	97	386
201	97	385
202	97	384
203	98	383
204	98	382
205	98	381
206	99	380
207	99	379
208	100	379
209	100	378
210	101	377
211	101	376
212	101	376
213	102	375
214	102	374
215	102	373
216	103	372
217	103	371
218	103	370
219	104	369
220	104	368
221	104	367
222	105	366
223	105	365
224	106	365
225	106	364
226	106	363
227	107	362
228	107	361
229	107	361
230	108	360
231	108	359
232	109	359
233	109	358
234	109	357
235	110	356
236	110	355
237	110	354
238	111	353
239	111	353
240	111	352
241	112	351
242	112	350
243	112	349
244	113	349
245	113	349
246	114	348
247	114	347
248	114	346
249	115	345
250	115	345
251	116	344
252	116	343
253	116	343
254	117	342
255	117	341
256	117	340
257	118	340
258	118	340
259	119	339
260	119	338
261	119	337
262	120	337
263	120	336
264	120	335
265	121	334
266	121	334
267	122	334
268	122	333
269	123	332
270	123	331
271	123	331
272	124	330
273	124	329
274	124	328
275	125	328
276	125	327
277	125	326
278	126	326
279	126	325
280	126	324
281	127	323
282	127	323
283	127	322
284	128	321
285	128	320
286	128	320
287	129	319
288	129	318
289	129	317
290	130	317
291	130	316
292	131	316
293	131	315
294	131	314
295	132	314
296	132	313
297	132	312
298	133	312
299	133	311
300	133	311
301	134	310
302	134	309
303	134	309
304	135	308
305	135	307
306	136	307
307	136	306
308	136	306
309	137	305
310	137	304
311	138	304
312	138	303
313	138	303
314	139	302
315	139	301
316	139	301
317	140	300
318	140	299
319	140	299
320	141	298
321	141	297
322	141	297
323	142	296
324	142	296
325	142	295
326	143	294
327	143	294
328	143	293
329	144	292
330	144	292
331	145	291
332	145	291
333	145	290
334	146	290
335	146	289
336	146	288
337	147	288
338	147	287
339	147	286
340	148	286
341	148	286
342	149	285
343	149	284
344	149	284
345	150	283
346	150	283
347	150	282
348	151	282
349	151	281
350	151	280
351	152	280
352	152	279
353	153	279
354	153	278
355	153	278
356	154	277
357	154	276
358	154	276
359	155	275
360	155	275
361	155	274
362	156	273
363	156	273
364	156	272
365	157	272
366	157	271
367	157	271
368	158	270
369	158	270
370	158	269
371	159	269
372	159	268
373	160	267
374	160	267
375	160	266
376	161	266
377	161	265
378	161	265
379	162	264
380	162	263
381	162	263
382	163	262
383	163	262
384	163	261
385	164	260
386	164	260
387	164	259
388	165	259
389	165	258
390	165	258
391	166	257
392	166	256
393	166	256
394	167	255
395	167	255
396	167	254
397	167	254
398	170	256
399	173	260
400	176	263
401	177	263
402	178	264
403	179	265
404	181	266
405	182	266
406	182	266
407	183	265
408	183	265
409	184	264
410	184	264
411	185	264
412	185	263
413	185	263
414	186	262
415	187	262
416	187	262
417	188	262
418	188	261
419	188	260
420	189	260
421	189	259
422	189	259
423	190	258
424	190	257
425	190	257
426	191	256
427	191	256
428	191	255
429	192	254
430	192	254
431	192	253
432	193	253
433	193	252
434	193	251
435	194	251
436	194	250
437	194	250
438	195	249
439	195	248
440	195	248
441	196	247
442	196	247
443	196	246
444	197	245
445	197	245
446	197	244
447	198	244
448	198	243
449	198	242
450	199	242
451	199	241
452	199	241
453	200	240
454	200	240
455	200	239
456	201	238
457	201	238
458	201	237
459	201	237
460	202	236
461	202	235
462	202	235
463	203	234
464	203	234
465	203	233
466	204	233
467	204	232
468	204	232
469	205	231
470	205	230
471	205	230
472	206	229
473	206	229
474	206	228
475	207	228
476	207	227
477	207	227
478	208	226
479	208	225
480	208	225
481	209	224
482	209	224
483	209	223
484	210	223
485	210	222
486	210	222
487	211	221
488	211	221
489	211	220
490	212	219
491	212	219
492	212	218
493	213	218
494	213	217
495	213	217
496	214	216
497	214	216
498	214	215
499	215	215
500	215	214
501	215	214
502	216	213
503	216	213
504	216	212
505	217	211
506	217	211
507	217	210
508	218	210
509	218	209
510	218	209
511	218	208
512	219	208
513	219	207
514	220	207
515	220	206
516	220	206
517	221	205
518	221	205
519	221	204
520	222	204
521	222	203
522	222	203
523	223	202
524	223	202
525	223	201
526	224	201
527	224	200
528	224	200
529	225	199
530	225	199
531	225	198
532	226	198
533	226	197
534	226	197
535	227	196
536	227	196
537	227	195
538	227	194
539	228	194
540	228	193
541	228	193
542	229	192
543	229	192
544	229	191
545	230	191
546	230	190
547	230	190
548	231	189
549	231	189
550	231	188
551	232	188
552	232	187
553	232	187
554	233	186
555	233	186
556	233	185
557	234	185
558	234	184
559	234	184
560	235	183
561	235	183
562	235	182
563	235	182
564	236	181
565	236	181
566	236	180
567	237	180
568	237	179
569	237	179
570	238	178
571	238	178
572	238	177
573	239	177
574	239	176
575	239	176
576	240	175
577	240	175
578	240	174
579	240	174
580	241	173
581	241	173
582	241	173
583	242	172
584	242	172
585	242	171
586	243	171
587	243	170
588	243	170
589	244	169
590	244	169
591	244	168
592	245	168
593	245	167
594	245	167
595	246	166
596	246	166
597	246	165
598	247	165
599	247	164
600	247	164
601	248	163
602	248	163
603	248	163
604	249	162
605	249	162
606	249	161
607	249	161
608	250	160
609	250	160
610	251	159
611	251	159
612	251	158
613	251	158
614	252	157
615	252	157
616	252	157
617	253	156
618	253	156
619	253	155
620	254	155
621	254	154
622	254	154
623	255	153
624	255	153
625	255	152
626	256	152
627	256	151
628	256	151
629	257	150
630	257	150
631	257	150
632	258	149
633	258	149
634	258	148
635	259	148
636	259	147
637	259	147
638	260	146
639	260	146
640	260	146
641	261	145
642	261	145
643	261	144
644	261	144
645	262	143
646	262	143
647	262	142
648	263	142
649	263	141
650	263	141
651	264	141
652	264	140
653	264	140
654	265	139
655	265	139
656	265	138
657	266	138
658	266	137
659	266	137
660	267	137
661	267	136
662	267	136
663	268	135
664	268	135
665	268	134
666	269	134
667	269	133
668	269	133
669	270	133
670	270	132
671	270	132
672	271	131
673	271	131
674	271	130
675	272	130
676	272	129
677	272	129
678	272	129
679	273	128
680	273	128
681	273	127
682	274	127
683	274	126
684	274	126
685	275	125
686	275	125
687	275	125
688	276	124
689	276	124
690	276	123
691	277	123
692	277	122
693	277	122
694	278	122
695	278	121
696	278	121
697	278	120
698	279	120
699	279	119
700	279	119
701	280	118
702	280	118
703	280	118
704	281	117
705	281	117
706	281	116
707	282	116
708	282	115
709	282	115
710	283	115
711	283	114
712	283	114
713	284	113
714	284	113
715	284	112
716	285	112
717	285	112
718	285	111
719	286	111
720	286	110
721	286	110
722	286	109
723	287	109
724	287	109
725	287	108
726	288	108
727	288	107
728	288	107
729	289	106
730	289	106
731	289	106
732	290	105
733	290	105
734	290	104
735	291	104
736	291	104
737	291	103
738	292	103
739	292	102
740	292	102
741	293	101
742	293	101
743	293	101
744	294	100
745	294	100
746	294	99
747	295	99
748	295	98
749	295	98
750	295	98
751	296	97
752	296	97
753	296	96
754	297	96
755	297	96
756	297	95
757	298	95
758	298	94
759	298	94
760	299	93
761	299	93
762	299	93
763	300	92
764	300	92
765	300	91
766	301	91
767	301	91
768	301	90
769	302	90
770	302	89
771	302	89
772	303	88
773	303	88
774	303	88
775	303	87
776	304	87
777	304	86
778	305	86
779	305	86
780	305	85
781	306	85
782	306	84
783	306	84
784	307	84
785	307	83
786	307	83
787	308	82
788	308	82
789	308	82
790	309	81
791	309	81
792	309	80
793	310	80
794	310	80
795	310	79
796	310	79
797	311	78
798	311	78
799	312	78
800	312	77
801	312	77
802	312	76
803	313	76
804	313	75
805	313	75
806	314	75
807	314	74
808	314	74
809	315	73
810	315	73
811	315	73
812	316	72
813	316	72
814	316	71
815	317	71
816	317	71
817	317	70
818	318	70
819	318	69
820	318	69
821	319	69
822	319	68
823	319	68
824	320	67
825	320	67
826	320	67
827	321	66
828	321	66
829	321	65
830	322	65
831	322	65
832	322	64
833	323	64
834	323	63
835	323	63
836	323	63
837	324	62
838	324	62
839	325	61
840	325	61
841	325	61
842	325	60
843	326	60
844	326	59
845	326	59
846	327	59
847	327	58
848	327	58
849	328	57
850	328	57
851	328	57
852	329	56
853	329	56
854	329	55
855	330	55
856	330	55
857	330	54
858	331	54
859	331	53
860	331	53
861	332	53
862	332	52
863	332	52
864	333	51
865	333	51
866	333	51
867	334	50
868	334	50
869	334	50
870	335	49
871	335	49
872	335	48
873	336	48
874	336	48
875	336	47
876	337	47
877	337	46
878	337	46
879	338	46
880	338	45
881	338	45
882	338	44
883	339	44
884	339	44
885	339	43
886	340	43
887	340	42
888	340	42
889	341	42
890	341	41
891	341	41
892	342	41
893	342	40
894	342	40
895	343	39
896	343	39
897	343	39
898	344	38
899	344	38
900	344	37
901	345	37
902	345	37
903	345	36
904	345	36
905	346	35
906	346	35
907	346	35
908	347	34
909	347	34
910	347	33
911	348	33
912	348	33
913	348	32
914	349	32
915	349	32
916	349	31
917	350	31
918	350	30
919	350	30
920	350	30
921	351	29
922	351	29
923	351	28
924	352	28
925	352	28
926	352	27
927	353	27
928	353	27
929	353	26
930	354	26
931	354	25
932	354	25
933	355	25
934	355	24
935	355	24
936	356	23
937	356	23
938	356	23
939	357	22
940	357	22
941	357	22
942	358	21
943	358	21
944	358	20
945	358	20
946	359	20
947	359	19
948	359	19
949	360	18
950	360	18
951	360	18
952	361	17
953	361	17
954	361	17
955	362	16
956	362	16
957	362	15
958	363	15
959	363	15
960	363	14
961	364	14
962	364	14
963	364	13
964	365	13
965	365	12
966	365	12
967	366	12
968	366	11
969	366	11
970	366	10
971	367	10
972	367	10
973	367	9
974	368	9
975	368	9
976	368	8
977	369	8
978	369	7
979	369	7
980	370	7
981	370	6
982	370	6
983	371	6
984	371	5
985	371	5
986	372	4
987	372	4
988	372	4
989	372	3
990	373	3
991	373	3
992	373	2
993	374	2
994	374	1
995	374	1
996	375	1
997	375	0
998	375	0
999	376	0
