Date,Vpost,pic,Value,kTum,PPP,DPM,AES
2016-01-01,99560.0,74449.188,1.33729,1.22912,95658.96766,0.08714,0.27157
2016-02-01,103920.0,68791.026,1.51066,1.38733,92298.59476,0.087,0.08259
2016-03-01,106580.0,67018.174,1.59031,1.47129,88607.09706,0.07757,0.14576
2016-04-01,108430.0,61344.681,1.76755,1.63361,81628.65383,0.08693,0.09845
2016-05-01,103730.0,56939.32,1.82176,1.67939,74606.29159,0.11626,0.09784
2016-06-01,104710.0,58647.796,1.7854,1.65413,74651.55685,0.12555,0.09773
2016-07-01,101880.0,59408.306,1.71491,1.59448,75306.71433,0.13465,0.10065
2016-08-01,99980.0,60667.133,1.64801,1.53423,77256.35561,0.17348,0.26903
2016-09-01,102670.0,62693.67,1.63765,1.52393,78868.11631,0.12039,0.12291
2016-10-01,104400.0,67889.516,1.53779,1.42255,86975.34902,0.08242,0.46445
2016-11-01,102730.0,73755.551,1.39284,1.28965,95154.09774,0.07593,0.47216
2016-12-01,100590.0,76234.084,1.31949,1.22702,100060.2255,0.1116,0.26662
2017-01-01,102270.0,74326.763,1.37595,1.2688,97522.0363,0.06351,0.14026
2017-02-01,104090.0,74757.458,1.39237,1.28624,98121.53467,0.05867,0.08601
2017-03-01,107270.0,67492.849,1.58935,1.4698,90343.57002,0.07042,0.13113
2017-04-01,107910.0,63905.308,1.68859,1.56187,85442.47428,0.06665,0.16243
2017-05-01,105790.0,59372.444,1.7818,1.64332,78461.76426,0.08338,0.22484
2017-06-01,107100.0,58255.202,1.83846,1.69551,76106.5502,0.11108,0.16159
2017-07-01,104540.0,58503.42,1.7869,1.6486,75923.80444,0.11345,0.20069
2017-08-01,104600.0,60243.534,1.73629,1.60137,78280.41628,0.11692,0.30968
2017-09-01,107890.0,62567.215,1.72439,1.59876,79547.66691,0.07669,0.13488
2017-10-01,108240.0,67432.212,1.60517,1.4988,88055.21699,0.06819,0.06282
2017-11-01,106190.0,70363.215,1.50917,1.4004,92658.12825,0.06113,0.19297
2017-12-01,105420.0,71757.739,1.46911,1.36527,96179.99601,0.04385,0.16668
2018-01-01,104860.0,73065.418,1.43515,1.34213,96368.17438,0.05978,0.16915
2018-02-01,106690.0,73941.84,1.44289,1.34881,98796.99496,0.04389,0.07484
