iter	Passed	Remaining
0	2	2170
1	4	2074
2	5	1872
3	7	1774
4	8	1781
5	10	1676
6	11	1632
7	13	1613
8	14	1559
9	15	1527
10	16	1492
11	17	1429
12	18	1404
13	19	1391
14	20	1368
15	22	1354
16	22	1326
17	23	1303
18	25	1291
19	25	1263
20	26	1247
21	27	1234
22	28	1223
23	29	1216
24	30	1207
25	32	1205
26	33	1197
27	34	1201
28	35	1184
29	36	1182
30	37	1168
31	38	1154
32	39	1144
33	40	1137
34	41	1131
35	41	1119
36	42	1106
37	43	1104
38	44	1103
39	45	1091
40	46	1081
41	46	1071
42	48	1068
43	48	1057
44	49	1049
45	50	1042
46	50	1032
47	51	1026
48	52	1020
49	53	1013
50	54	1004
51	54	997
52	55	991
53	56	986
54	57	980
55	57	973
56	58	967
57	59	961
58	59	954
59	60	950
60	61	949
61	62	949
62	63	944
63	64	937
64	64	932
65	65	927
66	66	924
67	67	921
68	67	917
69	68	913
70	69	914
71	70	909
72	71	904
73	71	899
74	72	894
75	73	891
76	73	886
77	74	881
78	75	878
79	75	873
80	76	870
81	77	866
82	78	862
83	78	859
84	79	855
85	80	851
86	80	847
87	81	843
88	81	839
89	82	835
90	83	831
91	83	828
92	84	824
93	85	821
94	85	818
95	86	814
96	87	810
97	87	809
98	88	805
99	89	802
100	89	798
101	90	794
102	90	791
103	91	787
104	92	784
105	92	781
106	93	777
107	93	774
108	94	771
109	94	768
110	95	765
111	96	763
112	96	760
113	97	757
114	98	754
115	98	751
116	99	748
117	99	745
118	100	742
119	100	740
120	101	737
121	102	735
122	102	733
123	103	730
124	104	728
125	104	726
126	105	723
127	105	720
128	106	717
129	106	715
130	107	712
131	107	709
132	108	707
133	109	704
134	109	702
135	110	700
136	110	697
137	111	695
138	112	694
139	112	692
140	113	690
141	113	687
142	114	685
143	114	682
144	115	680
145	116	678
146	116	676
147	117	674
148	117	672
149	118	669
150	118	667
151	119	666
152	119	663
153	120	661
154	120	659
155	121	657
156	121	654
157	122	653
158	123	651
159	123	649
160	124	647
161	124	645
162	125	643
163	125	641
164	126	638
165	126	636
166	127	634
167	127	632
168	128	631
169	128	629
170	129	627
171	129	625
172	130	623
173	130	621
174	131	620
175	132	618
176	132	616
177	133	614
178	133	612
179	134	610
180	134	609
181	135	607
182	135	605
183	136	604
184	136	602
185	137	600
186	137	598
187	138	596
188	138	595
189	139	594
190	139	592
191	140	591
192	140	589
193	141	587
194	142	586
195	142	584
196	142	582
197	143	581
198	143	579
199	144	577
200	144	576
201	145	574
202	146	573
203	146	571
204	146	569
205	147	568
206	148	567
207	148	565
208	149	564
209	149	563
210	150	562
211	150	560
212	151	559
213	151	557
214	152	556
215	152	554
216	153	553
217	153	551
218	154	550
219	154	548
220	155	547
221	155	545
222	156	544
223	156	542
224	157	540
225	157	539
226	158	538
227	158	536
228	159	535
229	159	534
230	160	532
231	160	531
232	161	530
233	161	528
234	162	527
235	162	526
236	163	525
237	163	524
238	164	522
239	164	521
240	165	520
241	165	519
242	166	517
243	166	516
244	167	515
245	167	513
246	168	512
247	168	511
248	168	509
249	169	508
250	169	507
251	170	506
252	170	504
253	171	503
254	171	502
255	172	500
256	172	500
257	173	498
258	173	497
259	174	496
260	174	494
261	175	493
262	175	492
263	176	491
264	176	489
265	177	488
266	177	487
267	177	486
268	178	484
269	178	483
270	179	482
271	179	480
272	180	479
273	180	478
274	181	477
275	181	476
276	181	475
277	182	473
278	182	472
279	183	471
280	183	470
281	184	469
282	184	467
283	185	466
284	185	465
285	185	464
286	186	462
287	187	462
288	187	461
289	187	459
290	188	458
291	188	457
292	189	456
293	189	455
294	189	453
295	190	452
296	191	452
297	191	451
298	192	450
299	192	449
300	192	447
301	193	446
302	193	445
303	194	444
304	194	443
305	195	442
306	195	441
307	195	439
308	196	438
309	196	437
310	197	436
311	197	435
312	197	434
313	198	433
314	198	432
315	199	431
316	199	429
317	199	428
318	200	427
319	200	426
320	201	425
321	201	424
322	202	423
323	202	422
324	203	421
325	203	420
326	203	419
327	204	418
328	204	417
329	205	416
330	205	415
331	205	414
332	206	413
333	206	412
334	207	411
335	207	410
336	208	409
337	208	408
338	209	407
339	209	406
340	209	405
341	210	404
342	210	403
343	211	402
344	211	401
345	211	400
346	212	400
347	212	399
348	213	398
349	213	397
350	214	396
351	214	395
352	215	394
353	215	393
354	215	392
355	216	391
356	216	390
357	217	389
358	217	388
359	218	387
360	218	386
361	219	385
362	219	385
363	219	384
364	220	383
365	220	382
366	221	381
367	221	380
368	221	379
369	222	378
370	222	377
371	223	376
372	223	375
373	224	375
374	224	374
375	225	373
376	225	372
377	225	371
378	226	370
379	226	370
380	227	369
381	227	368
382	228	367
383	228	366
384	228	365
385	229	364
386	229	364
387	230	363
388	230	362
389	231	361
390	231	360
391	231	359
392	232	358
393	232	357
394	233	356
395	233	356
396	233	355
397	234	354
398	234	353
399	235	352
400	235	351
401	236	351
402	236	350
403	236	349
404	237	348
405	237	347
406	238	347
407	238	346
408	238	345
409	239	344
410	239	343
411	240	342
412	240	342
413	241	341
414	241	340
415	242	339
416	242	339
417	242	338
418	243	337
419	243	336
420	244	335
421	244	335
422	245	334
423	245	333
424	245	332
425	246	331
426	246	331
427	247	330
428	247	329
429	248	328
430	248	328
431	248	327
432	249	326
433	249	325
434	250	324
435	250	324
436	251	323
437	251	322
438	251	321
439	252	321
440	252	320
441	253	319
442	253	318
443	253	317
444	254	317
445	254	316
446	255	315
447	255	314
448	255	314
449	256	313
450	256	312
451	257	311
452	257	311
453	258	310
454	258	309
455	258	308
456	259	308
457	259	307
458	260	306
459	260	305
460	260	305
461	261	304
462	261	303
463	262	302
464	262	302
465	263	301
466	263	300
467	263	299
468	264	299
469	264	298
470	265	297
471	265	297
472	266	296
473	266	295
474	266	294
475	267	294
476	267	293
477	268	292
478	268	292
479	269	291
480	269	290
481	269	290
482	270	289
483	270	288
484	271	287
485	271	287
486	272	286
487	272	285
488	272	285
489	273	284
490	273	283
491	274	283
492	274	282
493	274	281
494	275	280
495	275	280
496	276	279
497	276	278
498	277	278
499	277	277
500	277	276
501	278	276
502	278	275
503	279	274
504	279	274
505	280	273
506	280	272
507	281	272
508	281	271
509	281	270
510	282	270
511	282	269
512	283	268
513	283	268
514	284	267
515	284	266
516	284	266
517	285	265
518	285	264
519	286	264
520	286	263
521	287	262
522	287	262
523	287	261
524	288	260
525	288	260
526	289	259
527	289	258
528	290	258
529	290	257
530	290	256
531	291	256
532	291	255
533	292	254
534	292	254
535	293	253
536	293	253
537	293	252
538	294	251
539	294	251
540	295	250
541	295	249
542	295	249
543	296	248
544	296	247
545	297	247
546	297	246
547	298	245
548	298	245
549	298	244
550	299	243
551	299	243
552	300	242
553	300	242
554	301	241
555	301	240
556	301	240
557	302	239
558	302	238
559	303	238
560	303	237
561	303	236
562	304	236
563	304	235
564	305	234
565	305	234
566	305	233
567	306	233
568	306	232
569	307	231
570	307	231
571	308	230
572	308	229
573	308	229
574	309	228
575	309	228
576	310	227
577	310	226
578	311	226
579	311	225
580	311	224
581	312	224
582	312	223
583	313	223
584	313	222
585	314	221
586	314	221
587	314	220
588	315	219
589	315	219
590	316	218
591	316	218
592	316	217
593	317	216
594	317	216
595	318	215
596	318	215
597	319	214
598	319	213
599	319	213
600	320	212
601	320	212
602	321	211
603	321	210
604	321	210
605	322	209
606	322	208
607	323	208
608	323	207
609	324	207
610	324	206
611	324	206
612	325	205
613	325	204
614	326	204
615	326	203
616	327	203
617	327	202
618	327	201
619	328	201
620	328	200
621	329	200
622	329	199
623	330	198
624	330	198
625	330	197
626	331	197
627	331	196
628	332	195
629	332	195
630	333	194
631	333	194
632	333	193
633	334	192
634	334	192
635	335	191
636	335	191
637	336	190
638	336	190
639	336	189
640	337	188
641	337	188
642	338	187
643	338	187
644	338	186
645	339	185
646	339	185
647	340	184
648	340	184
649	341	183
650	341	183
651	342	182
652	342	181
653	342	181
654	343	180
655	343	180
656	344	179
657	344	179
658	345	178
659	345	177
660	345	177
661	346	176
662	346	176
663	347	175
664	347	175
665	347	174
666	348	173
667	348	173
668	349	172
669	349	172
670	350	171
671	350	171
672	351	170
673	351	170
674	351	169
675	352	168
676	352	168
677	353	167
678	353	167
679	353	166
680	354	166
681	354	165
682	355	164
683	355	164
684	356	163
685	356	163
686	356	162
687	357	162
688	357	161
689	358	160
690	358	160
691	359	159
692	359	159
693	359	158
694	360	158
695	360	157
696	361	156
697	361	156
698	362	155
699	362	155
700	362	154
701	363	154
702	363	153
703	364	153
704	364	152
705	365	152
706	365	151
707	366	150
708	366	150
709	366	149
710	367	149
711	367	148
712	368	148
713	368	147
714	368	147
715	369	146
716	369	145
717	370	145
718	370	144
719	371	144
720	371	143
721	371	143
722	372	142
723	372	142
724	373	141
725	373	141
726	373	140
727	374	139
728	374	139
729	375	138
730	375	138
731	376	137
732	376	137
733	377	136
734	377	136
735	377	135
736	378	135
737	378	134
738	379	133
739	379	133
740	380	132
741	380	132
742	381	131
743	381	131
744	381	130
745	382	130
746	382	129
747	383	129
748	383	128
749	384	128
750	384	127
751	384	126
752	385	126
753	385	125
754	386	125
755	386	124
756	386	124
757	387	123
758	387	123
759	388	122
760	388	122
761	389	121
762	389	120
763	389	120
764	390	119
765	390	119
766	391	118
767	391	118
768	392	117
769	392	117
770	392	116
771	393	116
772	393	115
773	394	115
774	394	114
775	395	114
776	395	113
777	395	112
778	396	112
779	396	111
780	397	111
781	397	110
782	398	110
783	398	109
784	398	109
785	399	108
786	399	108
787	400	107
788	400	107
789	401	106
790	401	106
791	401	105
792	402	105
793	402	104
794	403	103
795	403	103
796	403	102
797	404	102
798	404	101
799	405	101
800	405	100
801	406	100
802	406	99
803	406	99
804	407	98
805	407	98
806	408	97
807	408	97
808	408	96
809	409	96
810	409	95
811	410	94
812	410	94
813	411	93
814	411	93
815	411	92
816	412	92
817	412	91
818	413	91
819	413	90
820	414	90
821	414	89
822	414	89
823	415	88
824	415	88
825	416	87
826	416	87
827	417	86
828	417	86
829	417	85
830	418	85
831	418	84
832	419	84
833	419	83
834	419	82
835	420	82
836	420	81
837	421	81
838	421	80
839	422	80
840	422	79
841	422	79
842	423	78
843	423	78
844	424	77
845	424	77
846	424	76
847	425	76
848	425	75
849	426	75
850	426	74
851	427	74
852	427	73
853	428	73
854	428	72
855	428	72
856	429	71
857	429	71
858	430	70
859	430	70
860	431	69
861	431	69
862	431	68
863	432	68
864	432	67
865	433	67
866	433	66
867	433	65
868	434	65
869	434	64
870	435	64
871	435	63
872	435	63
873	436	62
874	436	62
875	437	61
876	437	61
877	438	60
878	438	60
879	439	59
880	439	59
881	439	58
882	440	58
883	440	57
884	441	57
885	441	56
886	442	56
887	442	55
888	442	55
889	443	54
890	443	54
891	444	53
892	444	53
893	445	52
894	445	52
895	445	51
896	446	51
897	446	50
898	447	50
899	447	49
900	447	49
901	448	48
902	448	48
903	449	47
904	449	47
905	450	46
906	450	46
907	450	45
908	451	45
909	451	44
910	452	44
911	452	43
912	453	43
913	453	42
914	453	42
915	454	41
916	454	41
917	455	40
918	455	40
919	455	39
920	456	39
921	456	38
922	457	38
923	457	37
924	457	37
925	458	36
926	458	36
927	459	35
928	459	35
929	460	34
930	460	34
931	460	33
932	461	33
933	461	32
934	462	32
935	462	31
936	463	31
937	463	30
938	463	30
939	464	29
940	464	29
941	465	28
942	465	28
943	466	27
944	466	27
945	466	26
946	467	26
947	467	25
948	468	25
949	468	24
950	468	24
951	469	23
952	469	23
953	470	22
954	470	22
955	471	21
956	471	21
957	471	20
958	472	20
959	472	19
960	473	19
961	473	18
962	473	18
963	474	17
964	475	17
965	475	16
966	475	16
967	476	15
968	476	15
969	477	14
970	477	14
971	478	13
972	478	13
973	478	12
974	479	12
975	479	11
976	480	11
977	480	10
978	481	10
979	481	9
980	481	9
981	482	8
982	482	8
983	483	7
984	483	7
985	484	6
986	484	6
987	484	5
988	485	5
989	485	4
990	486	4
991	486	3
992	487	3
993	487	2
994	488	2
995	488	1
996	488	1
997	489	0
998	489	0
999	490	0
